PID,Stage,Start,End,Rating
2,Pre-intervention,52:13:00,53:13:00,Slightly drowsy
2,Pre-intervention,53:13:00,54:13:00,Slightly drowsy
2,Pre-intervention,54:13:00,55:13:00,Slightly drowsy
2,Pre-intervention,55:13:00,56:13:00,Slightly drowsy
2,Pre-intervention,56:13:00,57:13:00,Slightly drowsy
2,Pre-intervention,57:13:00,58:13:00,Slightly drowsy
2,Pre-intervention,58:13:00,59:13:00,Slightly drowsy
2,Pre-intervention,59:13:00,60:13:00,Moderately drowsy
2,Pre-intervention,60:13:00,61:13:00,Moderately drowsy
2,Pre-intervention,61:13:00,62:13:00,Moderately drowsy
2,Intervention (Automation),62:13:00,63:13:00,Not drowsy
2,Intervention (Automation),63:13:00,64:13:00,Not drowsy
2,Intervention (Automation),64:13:00,65:13:00,Moderately drowsy
2,Intervention (Automation),65:13:00,66:13:00,Slightly drowsy
2,Intervention (Automation),66:13:00,67:13:00,Moderately drowsy
2,Intervention (Automation),67:13:00,68:13:00,Slightly drowsy
2,Intervention (Automation),68:13:00,69:13:00,Slightly drowsy
2,Intervention (Automation),69:13:00,70:13:00,Moderately drowsy
2,Intervention (Automation),70:13:00,71:13:00,Slightly drowsy
2,Intervention (Automation),71:13:00,72:13:00,Slightly drowsy
2,Post-intervention,72:13:00,73:13:00,Not drowsy
2,Post-intervention,73:13:00,74:13:00,Not drowsy
2,Post-intervention,74:13:00,75:13:00,Slightly drowsy
2,Post-intervention,75:13:00,76:13:00,Slightly drowsy
2,Post-intervention,76:13:00,77:13:00,Slightly drowsy
2,Post-intervention,77:13:00,78:13:00,Slightly drowsy
2,Post-intervention,78:13:00,79:13:00,Slightly drowsy
2,Post-intervention,79:13:00,80:13:00,Slightly drowsy
2,Post-intervention,80:13:00,81:13:00,Slightly drowsy
2,Post-intervention,81:13:00,82:13:00,Slightly drowsy
2,Post-intervention,82:13:00,83:13:00,Moderately drowsy
2,Post-intervention,83:13:00,84:13:00,Slightly drowsy
3,Pre-intervention,30:36:00,31:36:00,Moderately drowsy
3,Pre-intervention,31:36:00,32:36:00,Moderately drowsy
3,Pre-intervention,32:36:00,33:36:00,Moderately drowsy
3,Pre-intervention,33:36:00,34:36:00,Moderately drowsy
3,Pre-intervention,34:36:00,35:36:00,Very drowsy
3,Pre-intervention,35:36:00,36:36:00,Slightly drowsy
3,Pre-intervention,36:36:00,37:36:00,Moderately drowsy
3,Pre-intervention,37:36:00,38:36:00,Very drowsy
3,Pre-intervention,38:36:00,39:36:00,Very drowsy
3,Pre-intervention,39:36:00,40:36:00,Very drowsy
3,Intervention (Automation),40:36:00,41:36:00,Slightly drowsy
3,Intervention (Automation),41:36:00,42:36:00,Slightly drowsy
3,Intervention (Automation),42:36:00,43:36:00,Moderately drowsy
3,Intervention (Automation),43:36:00,44:36:00,Slightly drowsy
3,Intervention (Automation),44:36:00,45:36:00,Slightly drowsy
3,Intervention (Automation),45:36:00,46:36:00,Slightly drowsy
3,Intervention (Automation),46:36:00,47:36:00,Moderately drowsy
3,Intervention (Automation),47:36:00,48:36:00,Very drowsy
3,Intervention (Automation),48:36:00,49:36:00,Slightly drowsy
3,Intervention (Automation),49:36:00,50:36:00,Moderately drowsy
3,Intervention (Automation),50:36:00,51:36:00,Very drowsy
3,Post-intervention,51:36:00,52:36:00,Not drowsy
3,Post-intervention,52:36:00,53:36:00,Slightly drowsy
3,Post-intervention,53:36:00,54:36:00,Slightly drowsy
3,Post-intervention,54:36:00,55:36:00,Moderately drowsy
3,Post-intervention,55:36:00,56:36:00,Moderately drowsy
3,Post-intervention,56:36:00,57:36:00,Moderately drowsy
3,Post-intervention,57:36:00,58:36:00,Moderately drowsy
3,Post-intervention,58:36:00,59:36:00,Moderately drowsy
3,Post-intervention,59:36:00,60:36:00,Moderately drowsy
3,Post-intervention,60:36:00,61:36:00,Moderately drowsy
3,Post-intervention,61:36:00,62:36:00,Moderately drowsy
4,Pre-intervention,59:25:00,60:25:00,Not drowsy
4,Pre-intervention,60:25:00,61:25:00,Not drowsy
4,Pre-intervention,61:25:00,62:25:00,Not drowsy
4,Pre-intervention,62:25:00,63:25:00,Not drowsy
4,Pre-intervention,63:25:00,64:25:00,Not drowsy
4,Pre-intervention,64:25:00,65:25:00,Not drowsy
4,Pre-intervention,65:25:00,66:25:00,Not drowsy
4,Pre-intervention,66:25:00,67:25:00,Not drowsy
4,Pre-intervention,67:25:00,68:25:00,Not drowsy
4,Pre-intervention,68:25:00,69:25:00,Slightly drowsy
4,Intervention (Automation),69:25:00,70:25:00,Not drowsy
4,Intervention (Automation),70:25:00,71:25:00,Not drowsy
4,Intervention (Automation),71:25:00,72:25:00,Not drowsy
4,Intervention (Automation),72:25:00,73:25:00,Not drowsy
4,Intervention (Automation),73:25:00,74:25:00,Slightly drowsy
4,Intervention (Automation),74:25:00,75:25:00,Not drowsy
4,Intervention (Automation),75:25:00,76:25:00,Slightly drowsy
4,Intervention (Automation),76:25:00,77:25:00,Not drowsy
4,Intervention (Automation),77:25:00,78:25:00,Not drowsy
4,Intervention (Automation),78:25:00,79:25:00,Slightly drowsy
4,Post-intervention,79:25:00,80:25:00,Not drowsy
4,Post-intervention,80:25:00,81:25:00,Not drowsy
4,Post-intervention,81:25:00,82:25:00,Not drowsy
4,Post-intervention,82:25:00,83:25:00,Not drowsy
